14:40:10    0 ****************************************************
14:40:10    0 ** Dragonfly version 4.9 **
14:40:11    0 Hello, Network! (v1.2)
14:40:11    0 ResourceManager::loadSprite(): Loading sprite 'sprites/explosion-spr.txt'
14:40:11    0 ResourceManager::loadSprite(): Opened file 'sprites/explosion-spr.txt'
14:40:11    0 ResourceManager::loadSprite(): Sprite 'explosion' successfully loaded
14:40:11    0 Client::Client(): Connecting to -c at port 9876.
14:40:11    0 NetworkManager::connect(): Connecting to -c, port 9876.
14:40:11    0 NetworkManager::connect(): Error! getaddrinfo() returned:
14:40:11    0 	Unknown error
14:40:11    0 Client::Client(): Error!  Unable to connect.
14:40:11    0 Client::Client(): Client started.
14:40:11    0 GameManager::run(): starting game loop
14:40:11    0 Client::eventHandler(): sending mouse input to server.
14:40:11    0 NetworkNode::sendMessage(): NM not connected. Cannot send.
14:40:11    0 Client::eventHandler(): sending mouse input to server.
14:40:11    0 NetworkNode::sendMessage(): NM not connected. Cannot send.
14:40:11    2 Client::eventHandler(): sending mouse input to server.
14:40:11    2 NetworkNode::sendMessage(): NM not connected. Cannot send.
14:40:12    3 Client::eventHandler(): sending mouse input to server.
14:40:12    3 NetworkNode::sendMessage(): NM not connected. Cannot send.
14:40:12    4 Client::eventHandler(): sending mouse input to server.
14:40:12    4 NetworkNode::sendMessage(): NM not connected. Cannot send.
14:40:12    5 Client::eventHandler(): sending mouse input to server.
14:40:12    5 NetworkNode::sendMessage(): NM not connected. Cannot send.
14:40:12    6 Client::eventHandler(): sending mouse input to server.
14:40:12    6 NetworkNode::sendMessage(): NM not connected. Cannot send.
14:40:14   37 Client::eventHandler(): sending mouse input to server.
14:40:14   37 NetworkNode::sendMessage(): NM not connected. Cannot send.
14:40:14   37 Client::eventHandler(): sending mouse input to server.
14:40:14   37 NetworkNode::sendMessage(): NM not connected. Cannot send.
14:40:14   37 Client::eventHandler(): sending mouse input to server.
14:40:14   37 NetworkNode::sendMessage(): NM not connected. Cannot send.
14:40:14   38 Client::eventHandler(): sending mouse input to server.
14:40:14   38 NetworkNode::sendMessage(): NM not connected. Cannot send.
14:40:14   38 Client::eventHandler(): sending mouse input to server.
14:40:14   38 NetworkNode::sendMessage(): NM not connected. Cannot send.
14:40:14   38 Client::eventHandler(): sending mouse input to server.
14:40:14   38 NetworkNode::sendMessage(): NM not connected. Cannot send.
14:40:14   38 Client::eventHandler(): sending mouse input to server.
14:40:14   38 NetworkNode::sendMessage(): NM not connected. Cannot send.
14:40:14   39 Client::eventHandler(): sending mouse input to server.
14:40:14   39 NetworkNode::sendMessage(): NM not connected. Cannot send.
14:40:14   40 Client::eventHandler(): sending mouse input to server.
14:40:14   40 NetworkNode::sendMessage(): NM not connected. Cannot send.
14:40:14   41 Client::eventHandler(): sending mouse input to server.
14:40:14   41 NetworkNode::sendMessage(): NM not connected. Cannot send.
14:40:14   43 Client::eventHandler(): sending mouse input to server.
14:40:14   43 NetworkNode::sendMessage(): NM not connected. Cannot send.
14:40:14   43 Client::eventHandler(): sending mouse input to server.
14:40:14   43 NetworkNode::sendMessage(): NM not connected. Cannot send.
14:40:14   43 Client::eventHandler(): sending mouse input to server.
14:40:14   43 NetworkNode::sendMessage(): NM not connected. Cannot send.
14:40:14   44 Client::eventHandler(): sending mouse input to server.
14:40:14   44 NetworkNode::sendMessage(): NM not connected. Cannot send.
14:40:14   45 Client::eventHandler(): sending mouse input to server.
14:40:14   45 NetworkNode::sendMessage(): NM not connected. Cannot send.
14:40:16   97 Client::eventHandler(): sending mouse input to server.
14:40:16   97 NetworkNode::sendMessage(): NM not connected. Cannot send.
14:40:16   98 Client::eventHandler(): sending mouse input to server.
14:40:16   98 NetworkNode::sendMessage(): NM not connected. Cannot send.
14:40:16   99 Client::eventHandler(): sending mouse input to server.
14:40:16   99 NetworkNode::sendMessage(): NM not connected. Cannot send.
14:40:17  114 Client::eventHandler(): sending mouse input to server.
14:40:17  114 NetworkNode::sendMessage(): NM not connected. Cannot send.
